"lang"
{
    "Language"          "italian"
    "Tokens"
    {
        "Valve_Listen_MapName"                      "Mappa"
        "Valve_Movement_Title"                      "MOVIMENTO"
        "Valve_Move_Forward"                        "Andare avanti"
        "Valve_Move_Back"                           "Torna indietro"
        "Valve_Turn_Left"                           "Girare a sinistra"
        "Valve_Turn_Right"                          "Gira a destra"
        "Valve_Move_Left"                           "Muoviti a sinistra (mitraglia)"
        "Valve_Move_Right"                          "Muoviti a destra (mitraglia)"
        "Valve_Jump"                                "Salta"
        "Valve_Duck"                                "Anatra"
        "Valve_Swim_Up"                             "Nuota"
        "Valve_Swim_Down"                           "Nuota giù"
        "Valve_Look_Up"                             "Guarda in alto"
        "Valve_Look_Down"                           "Guarda in basso"
        "Valve_Look_Straight_Ahead"                 "Guarda dritto davanti a te"
        "Valve_Strafe_Modifier"                     "Modificatore di mitragliamento"
        "Valve_Mouse_Look_Modifier"                 "Modificatore dell'aspetto del mouse"
        "Valve_Keyboard_Look_Modifier"              "Modificatore dell'aspetto della tastiera"
        "Valve_Use_Items"                           "Usa oggetti (pulsanti, scienziati, ...)"
        "Valve_Communication_Title"                 "COMUNICAZIONE"
        "Valve_Use_Voice_Communication"             "Usa la comunicazione vocale"
        "Valve_Chat_Message"                        "Messaggio di chat"
        "Valve_Team_Message"                        "Messaggio di squadra"
        "Valve_Combat_Title"                        "COMBATTIMENTO"
        "Valve_Primary_Attack"                      "Attacco primario"
        "Valve_Secondary_Attack"                    "Attacco secondario"
        "Valve_Reload_Weapon"                       "Ricarica l'arma"
        "Valve_Walk"                                "Cammina"
        "Valve_Flashlight"                          "Torcia elettrica"
        "Valve_Spray_Logo"                          "Marchio dello spruzzo"
        "Valve_Weapon_Category_1"                   "Categoria di armi 1"
        "Valve_Weapon_Category_2"                   "Categoria di armi 2"
        "Valve_Weapon_Category_3"                   "Categoria di armi 3"
        "Valve_Weapon_Category_4"                   "Categoria di armi 4"
        "Valve_Weapon_Category_5"                   "Categoria di armi 5"
        "Valve_Weapon_Category_6"                   "Categoria di armi 6"
        "Valve_Weapon_Category_7"                   "Categoria di armi 7"
        "Valve_Weapon_Category_8"                   "Categoria di armi 8"
        "Valve_Weapon_Category_9"                   "Categoria di armi 9"
        "Valve_Weapon_Category_0"                   "Categoria di armi 10"
        "Valve_Previous_Weapon"                     "Arma precedente"
        "Valve_Next_Weapon"                         "La prossima arma"
        "Valve_Last_Weapon_Used"                    "Ultima arma utilizzata"
        "Valve_Miscellaneous_Title"                 "VARIE"
        "Valve_Display_Scores"                      "Visualizza i punteggi multigiocatore"
        "Valve_Take_Screen_Shot"                    "Scatta una schermata"
        "Valve_Quick_Save"                          "Salvataggio rapido"
        "Valve_Quick_Load"                          "Caricamento rapido"
        "Valve_Pause_Game"                          "Metti in pausa il gioco"
        "Valve_Quit_Game"                           "Esci dal gioco"
        "Valve_Cheer"                               "Allegria"
        "Valve_Activate_In_Game_GUI"                "Attiva la GUI del gioco"
        "Valve_Change_Team"                         "Cambia squadra"
        "Valve_Change_Class"                        "Cambia classe"
        "Valve_Use_Special_Skill"                   "Usa abilità speciali"
        "Valve_Multiplayer_Decal_Limit"             "Limite decalcomanie multiplayer"
        "Valve_Valid_Teams"                         "Squadre valide (vuoto per tutti)"
        "Valve_Frag_Limit"                          "Limite di frammentazione"
        "Valve_Time_Limit"                          "Limite di tempo (min.)"
        "Valve_Falling_Damage"                      "Danno da caduta"
        "Valve_Normal"                              "Normale"
        "Valve_Realistic"                           "Realistico"
        "Valve_Teamplay"                            "Gioco di squadra"
        "Valve_Friendly_Fire"                       "Fuoco amico"
        "Valve_Weapons_Stay"                        "Le armi restano"
        "Valve_Force_Respawn"                       "Rigenerazione forzata"
        "Valve_Footsteps"                           "Orme"
        "Valve_Autocrosshair"                       "Mirino automatico"
        "Valve_Center_Player_Names"                 "Nomi dei giocatori del centro"
        "Valve_Switch_Weapons_Immediately"          "Cambia immediatamente arma"
        "Valve_Automatic_Screenshots"               "Acquisisci automaticamente screenshot di fine gioco"
        "Valve_Observer_Crosshair"                  "Mirino dell'osservatore"
        "Valve_ViewRollAngle"                       "Visualizza l'angolo di rollio"
        "Valve_ViewRollSpeed"                       "Visualizza la velocità del rotolo"
        "Valve_ViewBobTilt"                         "Visualizza Bob Tilt"
        "Valve_DefaultFOV"                          "Campo visivo predefinito"
        "Spec_Slow_Motion"                          "Al rallentatore"
        "Spec_No_PIP"                               "Picture-In-Picture non è disponibile in modalità Prima Persona durante il gioco."
        "Spec_Replay"                               "Riproduzione istantanea"
        "Spec_Auto"                                 "Automatico"
        "Spec_Time"                                 "Tempo"
        "Spec_Map"                                  "Mappa:%s1"
        "Spectators"                                "Spettatori"
        "Spec_PlayerItem_Health"                    "%s1(%s2)"
        "Spec_PlayerItem"                           "%s1"
        "Spec_PlayerItem_Team"                      "%s1(%s2)"
        "Spec_Duck"                                 "Premi DUCK per il menu spettatore"
        "Spec_Help_Title"                           "Modalità spettatore"
        "Spec_Help_Text"                            "Usa i seguenti tasti per cambiare gli stili di visualizzazione:\n\nFUOCO1 - Insegui il giocatore successivo\nFUOCO2 - Insegui il giocatore precedente\nSALTA - Cambia modalità di visualizzazione\nUSE - Cambia la modalità finestra interna\nDUCK - Abilita il menu spettatore\n\nIn modalità mappa panoramica muoviti con:\nMOVELEFT - sposta a sinistra\nMOVERRIGHT - sposta a destra\nAVANTI - ingrandisci\nBACK - rimpicciolisci\nMOUSE - ruota attorno alla mappa/bersaglio"
        "Spec_Mode1"                                "Telecamera di inseguimento bloccata"
        "Spec_Mode2"                                "Telecamera di inseguimento gratuita"
        "Spec_Mode3"                                "Guarda libero"
        "Spec_Mode4"                                "Prima Persona"
        "Spec_Mode5"                                "Panoramica della mappa gratuita"
        "Spec_Mode6"                                "Panoramica della mappa di inseguimento"
        "Spec_NoTarget"                             "Nessun target valido. Impossibile passare alla modalità Chase-Camera."
        "OBS_NONE"                                  "Opzioni della fotocamera"
        "OBS_CHASE_LOCKED"                          "Telecamera di inseguimento bloccata"
        "OBS_CHASE_FREE"                            "Telecamera di inseguimento gratuita"
        "OBS_ROAMING"                               "Guarda libero"
        "OBS_IN_EYE"                                "Prima Persona"
        "OBS_MAP_FREE"                              "Panoramica della mappa gratuita"
        "OBS_MAP_CHASE"                             "Panoramica della mappa di inseguimento"
        "SPECT_OPTIONS"                             "Opzioni"
        "CAM_OPTIONS"                               "Opzioni della fotocamera"
        "PlayerName"                                "Nome"
        "PlayerScore"                               "Punteggio"
        "PlayerDeath"                               "Morti"
        "PlayerPing"                                "Latenza"
        "PlayerVoice"                               "Voce"
        "PlayerTracker"                             "Amico"
        "T0A0TITLE"                                 "CORSO DI PERICOLO"
        "C0A0TITLE"                                 "MESA NERA IN ENTRATA"
        "C0A1TITLE"                                 "MATERIALI ANOMALI"
        "C1A1TITLE"                                 "CONSEGUENZE IMPREVISTE"
        "C1A2TITLE"                                 "COMPLESSO DI UFFICI"
        "C1A3TITLE"                                 "ABBIAMO OSTILI"
        "C1A4TITLE"                                 "FOSSA ESPLOSIVA"
        "C2A1TITLE"                                 "ACCENSIONE"
        "C2A2TITLE"                                 "SU UNA ROTAIA"
        "C2A3TITLE"                                 "APPRENSIONE"
        "C2A4TITLE1"                                "TRATTAMENTO DEI RESIDUI"
        "C2A4TITLE2"                                "ETICA DISCUTIBILE"
        "C2A5TITLE"                                 "TENSIONE SUPERFICIALE"
        "C3A1TITLE"                                 "DIMENTICATI DI FREEMAN!"
        "C3A2TITLE"                                 "NUCLEO LAMBDA"
        "C4A1TITLE"                                 "XEN"
        "C4A1ATITLE"                                "INTERLOPER"
        "C4A2TITLE"                                 "LA TANA DI GONARCHA"
        "C4A3TITLE"                                 "NIHILANTH"
        "C5TITLE"                                   "FINE DEL GIOCO"
        "Valve_Hostname"                            "Nome host"
        "Valve_Max_Players"                         "Massimo. giocatori"
        "Valve_Server_Password"                     "Password del server"
        "Valve_Close"                               "Chiudi"
        "Valve_Help"                                "Aiuto"
        "Valve_Settings"                            "Impostazioni"
        "Valve_Chat_Messages"                       "Messaggi di chat"
        "Valve_Show_Status"                         "Mostra stato"
        "Valve_View_Cone"                           "Visualizza Cono"
        "Valve_Player_Names"                        "Nomi dei giocatori"
        "Valve_PIP"                                 "Immagine nell'immagine"
        "Valve_Auto_Director"                       "Direttore automatico"
        "Valve_Show_Scores"                         "Mostra punteggi"
        "Valve_Game_Saved"                          "Partita salvata"
        "Valve_Orange"                              "Arancione"
        "Valve_Yellow"                              "Giallo"
        "Valve_Blue"                                "Blu"
        "Valve_Ltblue"                              "Ltblue"
        "Valve_Green"                               "Verde"
        "Valve_Red"                                 "Rosso"
        "Valve_Brown"                               "Marrone"
