"lang"
{
    "Language"          "japanese"
    "Tokens"
    {
        "Valve_Listen_MapName"                      "地図"
        "Valve_Movement_Title"                      "動き"
        "Valve_Move_Forward"                        "前進する"
        "Valve_Move_Back"                           "戻る"
        "Valve_Turn_Left"                           "左折"
        "Valve_Turn_Right"                          "右折"
        "Valve_Move_Left"                           "左に移動（掃射）"
        "Valve_Move_Right"                          "右に移動（掃射）"
        "Valve_Jump"                                "ジャンプ"
        "Valve_Duck"                                "アヒル"
        "Valve_Swim_Up"                             "泳ぎ上がってください"
        "Valve_Swim_Down"                           "泳いで降りる"
        "Valve_Look_Up"                             "見上げてください"
        "Valve_Look_Down"                           "見下ろす"
        "Valve_Look_Straight_Ahead"                 "まっすぐ前を見てください"
        "Valve_Strafe_Modifier"                     "掃射モディファイアー"
        "Valve_Mouse_Look_Modifier"                 "マウスの外観修飾子"
        "Valve_Keyboard_Look_Modifier"              "キーボードの外観修飾子"
        "Valve_Use_Items"                           "アイテムを使用する (ボタン、科学者など)"
        "Valve_Communication_Title"                 "コミュニケーション"
        "Valve_Use_Voice_Communication"             "音声通信を利用する"
        "Valve_Chat_Message"                        "チャットメッセージ"
        "Valve_Team_Message"                        "チームメッセージ"
        "Valve_Combat_Title"                        "戦闘"
        "Valve_Primary_Attack"                      "一次攻撃"
        "Valve_Secondary_Attack"                    "二次攻撃"
        "Valve_Reload_Weapon"                       "武器をリロードする"
        "Valve_Walk"                                "歩く"
        "Valve_Flashlight"                          "懐中電灯"
        "Valve_Spray_Logo"                          "スプレーロゴ"
        "Valve_Weapon_Category_1"                   "武器カテゴリー1"
        "Valve_Weapon_Category_2"                   "武器カテゴリー2"
        "Valve_Weapon_Category_3"                   "武器カテゴリー3"
        "Valve_Weapon_Category_4"                   "武器カテゴリー4"
        "Valve_Weapon_Category_5"                   "武器カテゴリー5"
        "Valve_Weapon_Category_6"                   "武器カテゴリー6"
        "Valve_Weapon_Category_7"                   "武器カテゴリー7"
        "Valve_Weapon_Category_8"                   "武器カテゴリー8"
        "Valve_Weapon_Category_9"                   "武器カテゴリー9"
        "Valve_Weapon_Category_0"                   "武器カテゴリー10"
        "Valve_Previous_Weapon"                     "前の武器"
        "Valve_Next_Weapon"                         "次の武器"
        "Valve_Last_Weapon_Used"                    "最後に使用した武器"
        "Valve_Miscellaneous_Title"                 "その他"
        "Valve_Display_Scores"                      "マルチプレイヤースコアを表示する"
        "Valve_Take_Screen_Shot"                    "スクリーンショットを撮る"
        "Valve_Quick_Save"                          "クイックセーブ"
        "Valve_Quick_Load"                          "クイックロード"
        "Valve_Pause_Game"                          "ゲームを一時停止する"
        "Valve_Quit_Game"                           "ゲームを終了する"
        "Valve_Cheer"                               "応援する"
        "Valve_Activate_In_Game_GUI"                "ゲーム内 GUI をアクティブにする"
        "Valve_Change_Team"                         "チームを変更する"
        "Valve_Change_Class"                        "クラス変更"
        "Valve_Use_Special_Skill"                   "特殊なスキルを使う"
        "Valve_Multiplayer_Decal_Limit"             "マルチプレイヤーのデカール制限"
        "Valve_Valid_Teams"                         "有効なチーム (すべて空白)"
        "Valve_Frag_Limit"                          "フラグリミット"
        "Valve_Time_Limit"                          "制限時間(分)"
        "Valve_Falling_Damage"                      "落下ダメージ"
        "Valve_Normal"                              "ノーマル"
        "Valve_Realistic"                           "現実的な"
        "Valve_Teamplay"                            "チームプレイ"
        "Valve_Friendly_Fire"                       "フレンドリーファイア"
        "Valve_Weapons_Stay"                        "武器の滞在"
        "Valve_Force_Respawn"                       "強制リスポーン"
        "Valve_Footsteps"                           "足音"
        "Valve_Autocrosshair"                       "オートクロスヘア"
        "Valve_Center_Player_Names"                 "センター選手の名前"
        "Valve_Switch_Weapons_Immediately"          "すぐに武器を切り替えてください"
        "Valve_Automatic_Screenshots"               "ゲーム終了時のスクリーンショットを自動的に撮影する"
        "Valve_Observer_Crosshair"                  "観察者の十字線"
        "Valve_ViewRollAngle"                       "ビューロール角度"
        "Valve_ViewRollSpeed"                       "ロール速度の表示"
        "Valve_ViewBobTilt"                         "ボブの傾きを表示"
        "Valve_DefaultFOV"                          "デフォルトの視野"
        "Spec_Slow_Motion"                          "スローモーション"
        "Spec_No_PIP"                               "一人称視点モードでは、プレイ中のピクチャー・イン・ピクチャーは利用できません。"
        "Spec_Replay"                               "インスタントリプレイ"
        "Spec_Auto"                                 "自動"
        "Spec_Time"                                 "時間"
        "Spec_Map"                                  "マップ:%s1"
        "Spectators"                                "観客"
        "Spec_PlayerItem_Health"                    "%s1(%s2)"
        "Spec_PlayerItem"                           "%s1"
        "Spec_PlayerItem_Team"                      "%s1(%s2)"
        "Spec_Duck"                                 "DUCKを押して観客メニューを表示します"
        "Spec_Help_Title"                           "観戦モード"
        "Spec_Help_Text"                            "ビュー スタイルを変更するには、次のキーを使用します。\n\nFIRE1 - 次のプレイヤーを追いかける\nFIRE2 - 前のプレイヤーを追いかける\nJUMP - ビュー モードを変更する\nUSE - インセット ウィンドウ モードを変更する\nDUCK - 観客メニューを有効にする\n\n概要マップ モードでは、次のコマンドを使用して移動します。\nMOVELEFT - 左に移動\nMOVERIGHT - 右に移動\nFORWARD - ズームイン\nBACK - ズームアウト\nMOUSE - マップ/ターゲットの周りを回転"
        "Spec_Mode1"                                "ロックされたチェイスカメラ"
        "Spec_Mode2"                                "無料の追跡カメラ"
        "Spec_Mode3"                                "フリールック"
        "Spec_Mode4"                                "一人称"
        "Spec_Mode5"                                "無料マップの概要"
        "Spec_Mode6"                                "チェイスマップの概要"
        "Spec_NoTarget"                             "有効なターゲットがありません。追跡カメラモードに切り替えることができません。"
        "OBS_NONE"                                  "カメラオプション"
        "OBS_CHASE_LOCKED"                          "ロックされたチェイスカメラ"
        "OBS_CHASE_FREE"                            "無料の追跡カメラ"
        "OBS_ROAMING"                               "フリールック"
        "OBS_IN_EYE"                                "一人称"
        "OBS_MAP_FREE"                              "無料マップの概要"
        "OBS_MAP_CHASE"                             "チェイスマップの概要"
        "SPECT_OPTIONS"                             "オプション"
        "CAM_OPTIONS"                               "カメラオプション"
        "PlayerName"                                "名前"
        "PlayerScore"                               "スコア"
        "PlayerDeath"                               "死亡者"
        "PlayerPing"                                "レイテンシ"
        "PlayerVoice"                               "声"
        "PlayerTracker"                             "友達"
        "T0A0TITLE"                                 "ハザードコース"
        "C0A0TITLE"                                 "ブラック・メサ・インバウンド"
        "C0A1TITLE"                                 "異常な物質"
        "C1A1TITLE"                                 "予期せぬ結果"
        "C1A2TITLE"                                 "オフィスコンプレックス"
        "C1A3TITLE"                                 "敵対者がいる"
        "C1A4TITLE"                                 "ブラストピット"
        "C2A1TITLE"                                 "パワーアップ"
        "C2A2TITLE"                                 "レールの上で"
        "C2A3TITLE"                                 "不安"
        "C2A4TITLE1"                                "残留物の処理"
        "C2A4TITLE2"                                "疑わしい倫理"
        "C2A5TITLE"                                 "表面張力"
        "C3A1TITLE"                                 "フリーマンのことは忘れてください！"
        "C3A2TITLE"                                 "ラムダコア"
        "C4A1TITLE"                                 "XEN"
        "C4A1ATITLE"                                "侵入者"
        "C4A2TITLE"                                 "ゴナークの隠れ家"
        "C4A3TITLE"                                 "ニヒランス"
        "C5TITLE"                                   "エンドゲーム"
        "Valve_Hostname"                            "ホスト名"
        "Valve_Max_Players"                         "最大。選手"
        "Valve_Server_Password"                     "サーバーパスワード"
        "Valve_Close"                               "閉じる"
        "Valve_Help"                                "ヘルプ"
        "Valve_Settings"                            "設定"
        "Valve_Chat_Messages"                       "チャットメッセージ"
        "Valve_Show_Status"                         "ステータスを表示"
        "Valve_View_Cone"                           "ビューコーン"
        "Valve_Player_Names"                        "プレイヤー名"
        "Valve_PIP"                                 "ピクチャー・イン・ピクチャー"
        "Valve_Auto_Director"                       "オートディレクター"
        "Valve_Show_Scores"                         "スコアを表示"
        "Valve_Game_Saved"                          "ゲームを保存しました"
        "Valve_Orange"                              "オレンジ"
        "Valve_Yellow"                              "黄色"
        "Valve_Blue"                                "ブルー"
        "Valve_Ltblue"                              "ルトブルー"
        "Valve_Green"                               "緑"
        "Valve_Red"                                 "赤"
        "Valve_Brown"                               "ブラウン"
        "Valve_Ltgray"                              "LTグレイ"
        "Valve_Dkgray"                              "Dkgray"
        "Valve_Playing"                             "遊ぶ"
        "Valve_Stopped"                             "停止しました"
        "Valve_Paused"                              "一時停止中"
        "Valve_x_1_4"                               "×1/4"
        "Valve_x_1_2"                               "×1/2"
        "Valve_x_1"                                 "×1"
        "Valve_x_2"                                 "×2"
        "Valve_x_4"                                 "×4"
        "Valve_ViewDemoStatus"                      "%s1%s2%s3"
        "vgui_HTMLBack"                             "戻る"
        "vgui_HTMLForward"                          "進む"
